id,language
129004176,en
26490481,en
213749122,en
30104304,en
160504245,en
50597026,fr
125387632,en
38594688,en
38746172,en
108268890,en
102845970,ko
156037856,en
64581694,en
164459256,ko
445529741,en
92113890,en
139504995,fr
188890121,ru
36138196,es
638511570,en
61433001,en
32402794,en
16064695,de
135377687,en
15027034,zh-tw
503598254,zh-tw
8641037,ru
21991090,de
107305687,en
29506118,zh-tw
57025612,en
9244832,en
43102846,fr
63493039,en
117783070,en
147337432,fr
26819117,ru
62510206,en
25202416,zh-tw
7010591,en
206506086,en
134766328,ru
81857784,ko
133923936,ko
164234001,ko
24538518,en
56040562,de
135052907,en
219621643,de
148934000,ko
16677765,zh-tw
101939053,de
52839414,en
501538848,es
50686586,en
174955366,fr
9528182,en
28369163,en
57317154,en
44335356,en
92372244,en
131403189,tr
27115917,fr
11692694,zh-tw
128293484,en
9679595,en
114774737,ko
91647183,de
99591839,en
64555493,tr
116298471,en
44396269,en
101936909,en
174592989,en
44338537,en
409760532,en
71672341,en
25604128,en
31545223,de
535010191,it
416031592,fr
74488574,en
69239046,en
10386664,en
55970469,de
88239974,de
89041633,en
107536229,en
67802451,en
115608720,en
59965916,en
45098797,en
410965603,en
50465063,pt-br
25259668,en
97552124,it
36483360,en
119415848,en
138117005,ko
38064706,tr
673571250,en
20508512,en
31239503,en
188614162,ru
30382440,en
104435562,ru
116010031,en
407348709,de
39432884,it
112868442,en
54121470,en
513289543,ko
672482656,en
61212355,en
418704990,zh-tw
106961925,ko
98048949,es
241581961,es
216764258,en
43578182,ru
150436863,it
58352686,de
238141340,ko
142179218,en
276929892,tr
71852533,fr
247808909,en
114119743,fr
106159308,de
241448668,ko
51620555,en
503241464,en
49408183,en
158606982,pt-br
231849482,ru
21390470,en
28565473,en
501535491,en
211024421,fr
22959224,en
76020989,en
32659255,de
522410585,ru
139208197,de
70983974,zh-tw
156748712,ko
60160906,de
132954880,zh-tw
158811448,en
143868710,ko
24306397,fr
23057278,en
171183040,fr
28213443,de
237280557,de
38009333,fr
232372312,ru
471180549,ko
23857542,en
218843935,tr
121228500,en
149188013,ko
69588825,en
241808969,fr
241546561,it
196668687,en
31500812,en
126902046,en
30227322,en
134301181,ko
198461840,fr
198506129,fr
118342490,en
25247111,ko
50127647,en
157636141,de
47250099,zh-tw
43534020,ru
64479508,it
468417934,ru
89890241,fr
190708734,fr
51465465,en
86403736,ko
86879544,en
98561040,es
22877031,ru
32053915,fr
143984866,tr
138143929,ko
634026979,en
58351323,de
31921744,tr
30080751,en
227101767,en
214572684,en
501974713,pt-br
25236843,zh-tw
180258441,en
51978040,en
43334060,de
80731615,zh-tw
116885541,en
63828424,ru
89204267,fr
665701229,en
57993352,es
138094321,ko
267948159,en
124318726,it
146584003,ko
138310362,de
449470373,ru
117084129,pt-br
188490730,zh-tw
54848721,it
165757934,tr
118155820,en
25009441,en
185913819,es
2261919,en
32660551,en
161982841,ko
83257026,ko
26538483,en
41245072,en
77450490,es
195047234,ru
101740476,en
22980711,en
27934574,en
42973421,es
77513372,tr
30661033,en
422106219,de
29157943,de
89047775,fr
179896802,en
21069037,en
48199446,it
268297838,fr
65172949,en
29439819,en
156862667,ru
63736545,de
182144693,en
104632789,en
85206619,pt-br
89349239,ru
64372897,en
683584511,en
120568022,ko
90334727,ru
47573963,en
491980204,es
70924840,en
85959522,en
142797941,en
119497908,zh-tw
118652300,fr
118263259,ru
49223732,es
86681843,es
87791915,ru
41879247,es
57717183,en
120475981,en
143754803,ko
78119719,en
159965232,ko
87207953,es
227499842,ko
31282189,en
169712275,tr
31809543,en
193524374,en
139683021,ko
23852822,zh-tw
84168533,en
39392583,en
111787808,de
183181014,fr
45221641,en
29661191,en
618072117,ko
125521980,de
190146087,en
96772990,ru
680396546,en
143646010,en
133612930,de
225886040,pt-br
190479475,ru
162658813,en
505614602,it
213766674,it
71509335,en
250248894,en
183233336,fr
136371522,pt-br
185398814,ko
103917636,ko
29578325,en
225772624,en
172879061,ko
524297220,ko
39150803,en
47498036,es
20485198,en
38461708,ru
131210325,pt-br
112034182,it
71013219,ko
131727592,en
72112165,en
93207474,pt-br
128856353,en
483733916,de
117972622,de
631453369,it
36626799,en
175865119,en
41800397,en
24634783,en
102780420,es
100438963,zh-tw
119409271,en
446950722,es
39705645,en
188887325,en
632778680,en
29158331,en
633928363,en
79086834,ko
217109907,de
87602262,de
32152294,en
38878346,en
200631673,es
443006955,de
49655919,ko
59016177,en
147866663,tr
523518452,en
136235224,en
148495863,ko
142906751,tr
105946653,en
44536868,en
44281267,de
420966925,de
232838410,en
42932741,tr
172430119,en
408220715,en
48186960,en
59966426,en
43582520,de
538838340,pt-br
571613121,de
439439070,en
140179881,ko
42120234,fr
27631292,en
269017354,ko
449887442,en
44941227,it
40383341,fr
63453024,es
81795200,es
26599617,zh-tw
662638256,fr
42141270,ru
26858759,de
85950164,en
74571203,es
277624494,en
433650680,en
51304190,de
151550066,en
125004301,en
90387538,en
112618532,pt-br
122854486,ru
137884624,ko
231439726,ko
135556026,en
26693897,ru
47627824,en
547819370,en
182779724,ko
93812777,en
43201452,en
41684297,en
7720868,zh-tw
39152815,pt-br
525753861,ru
68771419,ko
247788421,es
136396398,es
207164647,es
189755167,en
79918954,de
84224394,de
137273639,en
102213243,ko
236080157,en
20555157,en
44741426,en
176579525,de
678350139,zh-tw
152088629,fr
39704463,en
141490402,fr
95645837,ru
592719791,ko
427703203,ko
58195781,en
411085629,en
502329433,it
57116735,ru
133995047,en
544780041,ru
156710981,ko
229059797,en
437841638,en
160254620,ko
514508454,en
81832690,en
53771033,en
244731172,es
37278046,zh-tw
232672264,en
252726278,es
52215959,ru
85756815,it
190531337,ru
123364886,ru
126051617,en
539437661,ru
620828107,en
195007466,pt-br
92200129,de
150716625,fr
21629925,en
42508038,en
75891532,pt-br
153437050,en
41229504,ko
231579912,es
46858028,en
79226862,ko
54739364,en
144957238,en
451374597,zh-tw
142424701,ko
151967512,en
147767846,it
133234852,pt-br
30141561,zh-tw
61783649,en
129039601,pt-br
478839328,ko
36797764,en
65906624,en
29183589,en
86219103,de
138689767,ko
150761874,pt-br
170547313,en
32212533,es
86266216,en
641708408,it
121445595,fr
47179419,fr
133850478,ru
40768679,en
74722038,ko
23518699,en
105623158,en
180820250,en
168410199,en
7832442,en
85027055,de
72932965,it
158939016,de
94432456,en
57938681,pt-br
577364308,ko
36848497,en
54463322,ru
423621850,ru
128712028,en
488631075,it
91305522,de
146230147,it
54730946,en
26656197,en
69129511,ru
19482110,en
32322994,es
191256374,zh-tw
145178632,ko
673510771,ru
49824597,tr
48350819,en
265735182,en
92858368,en
40974672,ru
528988061,tr
113058762,es
81762924,ko
202748421,de
504407573,en
68336635,en
519791663,en
20090948,en
95671295,en
460692772,en
627738925,es
248753372,ru
83030545,fr
54185820,en
72948663,fr
76903277,es
279423186,en
400412359,tr
72756540,en
453535398,de
476643128,en
111799555,en
57880988,en
38779717,en
122881889,en
67465665,en
75348273,es
86423368,zh-tw
208185912,ko
14824099,en
67052861,en
84639976,fr
464843305,ru
13460644,en
31265359,ko
473365648,it
118787650,pt-br
72960162,pt-br
86729677,fr
99625250,es
106899838,en
102584165,de
157080488,tr
38970506,en
75137783,de
471398124,en
22186763,en
143123320,de
143685068,ru
218121751,en
162278307,en
23990242,en
62339649,en
76752131,ru
167413849,en
499773430,de
69183831,en
579838440,de
144485229,ko
168547237,en
165466378,de
166312452,de
41382559,en
56680513,es
454980215,en
645085455,it
82173521,it
42219929,es
153036354,ko
124491706,es
508525027,ru
22739676,en
36143129,en
60781881,zh-tw
183741582,en
134945244,fr
232340058,en
26215339,ru
605221125,es
38970815,ru
76084292,en
132485963,en
87822995,en
95304188,en
115141884,en
129003911,en
179481238,fr
27446517,en
59151511,en
180550276,en
122468839,en
29530816,en
122754132,ko
67811113,ru
174805181,pt-br
163078212,de
90299558,ko
429533286,ko
146502384,en
267099392,en
50815446,en
449537260,en
110655027,en
500763400,de
202601041,en
110078003,fr
493160350,pt-br
228296361,en
88198553,en
32487456,en
446409038,it
414653932,de
224037760,en
89919564,es
83180882,en
175503821,de
467801361,en
68281787,de
98817962,ru
76258299,en
451975624,it
199636758,fr
60039261,en
79792848,en
407510247,en
85931319,en
239545102,en
129342719,en
45030430,en
124327487,pt-br
64965465,fr
135957425,en
412308985,it
135806030,en
200723433,es
139024449,fr
155874595,en
124021995,en
108507500,it
658556432,en
139125840,en
47154583,es
179156165,tr
26027297,en
440665861,en
148002369,ko
149584843,ru
133356810,tr
265426678,en
139144469,en
149988048,de
71313548,ko
254936962,de
37762438,en
278449108,de
179016375,en
427382321,en
427803367,en
498702559,en
92463701,it
504150342,en
42061614,en
169827251,en
499199374,en
39124807,en
32718606,en
675980762,ru
136272618,pt-br
269565123,tr
672062488,de
147908193,en
48465437,en
106013742,en
22596190,zh-tw
116311210,ru
32184566,ru
25270623,en
102529633,tr
165897730,de
109341125,en
74537554,de
117011503,fr
96150478,ru
662145396,de
100288864,en
108609171,es
541028234,ko
130802381,ru
80352893,en
158279505,ko
44054511,en
239962994,en
682961630,zh-tw
409636318,tr
503369631,en
466408826,en
262490786,es
104781313,en
187691918,en
72318357,en
73615346,fr
428815192,en
246654976,zh-tw
247692826,de
93481031,en
49763949,tr
681164015,en
678924499,ru
63825346,ru
432857248,fr
83036580,fr
509624095,en
609887708,fr
140175340,ko
219794816,ru
97306968,en
174271195,ko
415863463,de
504529238,es
475055530,ko
470479780,de
31441995,en
547378744,fr
43419527,es
85034121,fr
465979384,ko
522488619,en
557724856,en
64713287,en
412571101,es
126454938,tr
54022049,en
46201261,en
109593463,zh-tw
49456129,en
42971110,de
212231863,en
145459276,en
500001586,fr
276552680,tr
158007604,it
74510447,pt-br
220105482,tr
36196174,de
44991151,en
85930447,fr
22121645,en
492902843,es
79911474,en
83821051,en
93489181,en
155915280,en
97633567,de
59804049,en
41967273,en
271313368,ko
41687919,en
539477737,fr
490374023,tr
611497474,fr
452233330,en
51098900,es
427332118,ru
254223937,en
482900466,en
660190669,en
654556126,en
140116025,ko
615499662,fr
129587539,pt-br
564003903,fr
531964720,es
664897436,pt-br
591776392,es
404662974,en
467963470,en
608988731,es
99980069,en
151850527,ko
62814828,fr
47148210,fr
129163519,fr
522505115,en
186540924,es
199675591,it
256161092,en
439510172,ru
116595307,tr
63256034,tr
54041313,en
123983762,en
118882230,en
71344810,en
49636294,es
32625784,de
49035758,fr
41719107,fr
622545020,de
463836611,tr
685554894,en
171084503,en
685338680,en
224376932,en
533782740,de
649980052,tr
130968411,ko
428955456,ru
477927724,en
272043050,en
631111052,en
188156769,en
442374416,ko
60014569,en
140746824,en
87805484,fr
144477379,en
442996491,es
493080318,en
23714304,en
24811779,en
454664618,en
682758390,en
195310573,ko
487915979,en
112167340,ru
580697107,ko
98960305,zh-tw
519746704,en
518093389,en
432426646,en
644985825,fr
147696216,ru
616819701,it
86108308,en
38167015,en
515044370,ru
485750315,en
505798243,es
624797983,en
500295716,fr
142156879,en
684616795,en
139084092,es
146545843,ko
26510006,it
20650721,zh-tw
228670021,en
133605792,en
176919594,en
628967771,en
447779455,it
37738094,en
178523508,ko
197526054,en
642716024,es
4690440,zh-tw
177396557,fr
670200047,en
96022899,fr
26202775,en
139027213,en
157053493,fr
37438876,en
72906367,es
40860651,en
106829863,en
131496667,en
145021167,en
109054164,en
27306499,en
254151744,en
168178664,pt-br
120036289,en
81423079,en
134028817,ko
94920443,tr
37522866,en
48946894,en
37402112,en
415513756,en
439826451,en
42415435,ru
95793204,ru
32944300,ru
220930843,ru
53657951,ru
498609563,ru
123782776,en
72256775,en
68594999,fr
84886230,fr
118241089,en
141679818,en
257497060,en
94528132,en
43028909,en
153176290,en
22932685,en
428951019,ko
29829912,en
536083731,ko
114170206,en
73114442,de
89737232,ru
159974499,ru
105244994,ru
22814674,ru
43899589,ru
116447563,ru
56304526,es
32428080,es
142167044,es
72550899,en
45044816,de
178154897,es
24138907,en
88084663,en
64949289,de
99121518,de
147734961,pt-br
254756234,en
150989534,zh-tw
64855800,zh-tw
19395644,en
29396564,en
576114251,fr
100630863,tr
49914195,en
81760130,ko
60672785,en
48657219,zh-tw
100544756,en
28991003,en
225138277,ko
60978448,en
433185586,ko
134639274,ko
151022403,ru
81478902,ko
137724490,ko
149397653,ko
101572475,de
90516316,zh-tw
473551082,en
12902657,es
147420494,ko
32258140,en
26301881,en
26029516,en
152775882,en
132258917,fr
69616738,en
36440933,zh-tw
29804895,zh-tw
73362563,en
265924246,de
29512470,tr
32375464,en
38005233,es
58728516,en
51956476,ru
53591406,en
61410368,en
63142572,en
83435622,en
122734645,pt-br
16433726,en
64140092,en
26412614,en
108208500,de
2400710,en
62287316,en
439244188,en
178238725,en
402991688,en
87463929,it
29338954,pt-br
98571070,en
82340161,de
107627864,es
27187817,en
112456234,fr
40857595,es
12875057,de
38770961,de
38158532,ru
100138916,ru
48189727,ru
108379924,es
124033438,pt-br
181636240,en
43013974,zh-tw
104087534,zh-tw
106358622,zh-tw
41567638,de
62791493,zh-tw
95473492,en
175175907,ko
196783434,tr
274508467,fr
248388278,ru
173877118,en
96324761,fr
171751692,en
37153714,en
29400754,en
46346234,en
464022560,en
276840792,it
102192603,zh-tw
51229960,en
109157255,en
27992608,en
98742675,en
117583640,en
40656652,zh-tw
119925910,en
104836482,en
68465758,ru
46046475,en
26973975,en
91807948,en
464746847,es
138347708,fr
94849379,ru
25633533,es
109345208,en
157286930,en
50063424,en
160028137,en
219069796,en
63162874,pt-br
187998818,en
31894912,es
22134218,en
39832276,zh-tw
38568005,en
144364987,en
85834498,en
164545160,en
138088505,en
38640167,en
84572819,en
40934651,en
254721700,pt-br
25743612,en
67650991,en
155293895,fr
112273354,ko
99351845,de
134118008,pt-br
98916815,en
114543059,fr
96954144,fr
112017270,pt-br
99648949,es
206865739,en
120619098,en
48919437,de
63602976,pt-br
99401753,en
119149424,tr
15208758,en
139280224,en
569631269,en
167578517,en
147112065,ko
413012469,en
209702413,en
36619478,en
14382096,ru
227780908,en
47972131,en
78116651,en
620835711,tr
278433745,en
97782735,en
496594629,ru
36029255,en
190835892,ko
71092938,en
36511475,pt-br
142055874,en
36481935,en
22346597,es
140772558,pt-br
26610234,en
78131255,en
485855940,zh-tw
40336240,en
86277097,ru
70075625,ru
26991127,en
103825127,ko
213748641,ru
81687332,en
151283108,en
103440455,ko
128149102,en
31688366,en
112815892,tr
21841789,en
36513760,en
72977645,ru
38121996,de
24765850,zh-tw
26779624,zh-tw
44424631,en
561062793,en
159785521,es
52349411,fr
96564203,es
56649026,en
52650914,it
10180005,en
154425624,en
66375105,ko
85652487,es
471811595,es
44390855,en
209139976,tr
68018147,tr
59308271,en
39154778,ru
112822444,en
81737198,de
148057505,ko
106026618,ru
48437708,en
46780407,de
660006987,pt-br
155642616,tr
120627272,de
236507843,it
459331509,es
103861159,ko
154526718,en
166079347,ko
102381201,ko
138686063,ko
35980866,es
407837457,fr
122887284,en
49045679,ko
182427515,de
53065331,it
54319112,es
44099416,en
39775590,en
624794688,es
30904062,ko
30357893,es
138542600,ko
48865821,de
31557869,en
29565445,de
30623831,en
36324138,en
141278593,ru
40110994,es
132850171,de
492854165,en
41652,en
30504119,en
39692658,es
98506045,en
42814514,es
44407373,ru
112983233,ru
62989856,fr
431220960,ru
31089858,ru
228371036,pt-br
12731745,en
143759910,en
135177864,de
48286022,en
55933037,it
117348035,zh-tw
193531341,pt-br
48870826,de
115657971,es
431460701,es
643710164,en
30777889,en
147090450,ko
37047104,en
38708489,en
125093246,en
199046842,es
166713016,en
474808619,en
109193436,de
131215608,fr
45822345,de
61021309,ru
572866502,pt-br
167100879,es
52803405,fr
25684280,zh-tw
69824993,en
40784764,de
45329736,es
240277531,es
46834933,ko
71040143,en
65539427,tr
71467481,de
29036519,en
26857029,pt-br
31291480,es
65876095,es
170823058,ko
74426799,es
641281044,ru
58753574,es
28575692,fr
38024128,en
26707784,de
27107346,en
36259794,en
237872364,ru
62356185,ko
35936672,es
28252159,en
36957278,en
23945610,en
48082917,en
86420656,en
117323707,fr
89389801,it
55898523,de
81446331,fr
572772733,en
411377640,en
182560660,en
259694951,ko
66272442,en
36177185,en
412082538,es
165295605,ru
153314610,en
195166073,ko
419496016,ko
63747048,ru
127402380,en
41783889,pt-br
20567961,en
35788650,fr
16995144,en
143679319,en
172172508,tr
122582895,en
238108646,es
455539408,en
413091457,it
112702339,en
224081471,en
126595970,zh-tw
117031241,fr
63197750,en
25084072,en
94854762,pt-br
92176861,en
177265844,pt-br
574802385,fr
28990891,zh-tw
108353322,en
496970086,en
65411398,ru
275644615,ko
88301612,fr
95660365,de
104655406,en
48731544,ko
123938689,en
144354306,it
179346610,ru
104477229,fr
85956078,en
26764651,de
82032862,de
204482134,de
63614185,ru
44162266,ru
108547363,it
102680338,en
75701802,fr
42546908,en
124304147,en
45278859,en
211381187,en
148495649,en
80216715,es
88957496,en
86126056,ko
110345640,ko
75999663,it
137753119,ko
401894839,de
49303276,en
102440358,en
91137296,en
493876689,en
61241353,en
45821367,es
501451345,en
147093978,en
188300205,fr
84016053,en
114968501,ko
525341327,it
32171655,pt-br
81441754,ko
39298218,en
51633358,pt-br
104256316,ru
113917705,en
51929371,en
170869845,zh-tw
147081554,en
40335286,ru
46645300,es
239474978,en
31556569,en
212737350,it
575443101,en
456798977,zh-tw
514457856,ko
68170241,tr
579466207,es
175779148,es
478707375,ko
136382961,zh-tw
25093116,en
49261047,en
146728026,en
36061968,es
41665974,ru
36974451,en
183651812,ko
112094449,en
125973453,ko
210014596,pt-br
101277445,tr
140714397,de
217354483,en
586374628,es
149456095,en
674570414,en
167729977,tr
68816918,it
43030068,it
571785077,en
95032018,en
196665069,es
169703688,es
577606762,es
98578318,en
185072381,en
462407178,en
156432081,ko
107590072,en
70983894,fr
141957188,en
84240904,fr
83332770,it
62651386,ru
118956645,it
172393350,es
21080562,fr
94714426,fr
123131262,en
23735582,en
87568138,de
462169005,pt-br
178505082,pt-br
137952594,ko
87875017,en
113080650,fr
153518056,de
115821061,it
88217136,zh-tw
38890428,de
419361050,en
468031986,ko
198860406,ko
130433306,ko
38378829,de
87184624,fr
133896185,en
250392292,it
159365205,en
148393319,en
522680774,fr
101062697,es
86690831,en
448447092,de
77733194,en
90917536,pt-br
75962614,en
37851229,en
97903976,de
250201188,en
103330370,de
52379691,en
40646018,de
101400190,en
99765615,en
152784600,pt-br
405947210,ko
36413513,pt-br
238794809,es
137538550,ko
39885827,en
67736450,it
30967548,en
126324637,de
256459127,en
30196776,en
62595539,en
51796845,en
39783270,en
170544227,es
465636300,pt-br
137471939,de
39569560,en
39317849,en
37425894,pt-br
28351364,zh-tw
80981775,fr
26008696,es
525718374,en
44132002,en
525315099,zh-tw
43043577,fr
476047710,es
32951395,en
33734881,en
35916854,en
604452183,es
605089383,fr
430980292,en
87423892,en
140872133,en
59331397,ru
642520006,es
427846618,en
90739706,en
246636479,en
198337474,pt-br
195247807,ko
148293779,it
72972661,de
56964879,en
218301998,ru
444850383,en
151519661,en
36009345,de
178434287,ko
79532581,de
427712100,en
464938702,en
55101697,en
265500389,fr
115008194,es
26849594,fr
26302559,en
151637804,en
212167812,it
443735657,en
410044578,es
128035304,ko
39677337,en
25812641,en
134400089,es
57519051,en
209691723,en
406534677,pt-br
24981496,en
138033816,ko
38927816,en
50450455,en
530538825,it
70916413,pt-br
192188954,en
29260188,pt-br
144294896,de
240510403,en
476035137,en
85943836,en
137499050,pt-br
659605316,es
93773199,en
120079562,en
55607419,en
87259080,tr
105472368,en
508990092,en
24070690,en
484315387,en
97892476,en
70878755,en
93449682,it
150066856,en
95932575,ru
20260659,en
137761401,ko
136784171,de
25250565,en
103495737,de
47603866,en
139622567,en
205842531,ko
422911605,es
109306231,fr
463268811,ko
211256106,en
137907801,de
419808601,pt-br
138895086,de
448354248,es
71968056,en
45686481,en
47606906,en
152463923,es
184881349,it
54525106,en
419619583,en
85860111,en
63179445,de
187556770,tr
27765748,en
142603695,tr
208953352,en
150352604,fr
26306692,en
112327448,en
150814235,en
264727777,en
436730882,it
497299779,pt-br
429442572,en
117529335,en
407703867,it
72213818,en
54401491,en
213496523,tr
126168826,ko
49344422,es
43410417,de
24208138,en
467506507,en
219481943,ko
559482129,en
159910521,en
134741970,en
118288907,tr
54681827,de
477686769,de
55664807,zh-tw
101320368,en
70520787,en
106245709,ko
156440000,es
112610505,ko
181650251,en
149354845,en
124985697,en
43298229,de
51913206,en
46571894,en
74596039,ru
42316376,ru
192376620,ru
65583390,ko
561607786,en
75131570,zh-tw
28638761,pt-br
228598214,es
137612832,ko
101020771,de
116778950,en
38486587,tr
71521770,ru
67479479,de
48478258,en
111045473,ko
156467213,es
43993381,fr
472752044,es
98814305,en
19369850,zh-tw
36316455,zh-tw
40693942,fr
58839113,en
158388504,de
71679241,de
121691731,en
93869876,en
182867055,en
268111820,tr
230454030,zh-tw
27954235,ru
139114048,es
49539728,en
21331655,en
79297907,en
128658231,ru
55935171,ru
43564820,ru
30685416,es
30070692,en
401398068,tr
176426110,ru
51486023,en
125260461,fr
41372534,de
403242361,en
45952312,en
40266934,es
38865198,en
36805559,en
276821855,fr
40653495,ru
82388424,en
79075908,de
41726922,en
36198475,pt-br
51999585,tr
139887547,fr
145641793,de
144750714,en
137724663,ko
151249156,ko
117361206,ko
84845363,en
44390788,en
446810993,de
36945314,en
26290555,en
61519248,es
74051603,fr
73868748,ru
70088956,pt-br
77208443,pt-br
427412996,es
103588982,es
96161253,pt-br
123484627,en
257805311,es
18808579,zh-tw
24705912,zh-tw
467031116,ru
124900389,ru
38438547,ru
28703999,en
183819202,en
37547034,fr
108107800,ko
269350061,en
414723791,en
39393023,en
63428584,en
449793861,tr
117385099,de
26766376,zh-tw
56097532,fr
105218968,en
198409016,en
272748387,en
474500269,en
155429315,en
636168890,en
170347275,ko
145202260,tr
193068215,fr
453514746,ru
50623093,tr
238184779,fr
114772787,es
407388596,fr
633100619,de
160224674,ru
76284681,it
14891712,en
53567674,es
45878070,es
36140157,es
88230429,es
30286648,fr
277445885,de
24713999,en
163303558,en
143241715,de
139345001,ru
73120205,de
422481048,tr
185606612,en
48660027,en
7093315,en
25690271,es
66363279,en
483194031,en
48997372,en
72295817,en
84021070,fr
181259499,en
429483815,tr
102205475,en
176024113,tr
136366909,en
137724090,ko
60177334,ru
506779979,en
62638609,es
492327183,en
415068073,en
144488507,it
52614128,pt-br
156465245,pt-br
198526806,it
415731592,it
18466131,pt-br
41820329,en
168568972,ru
52172280,en
35999968,es
91904368,en
39894746,en
171821579,ru
25753058,en
132190230,en
20443049,en
116228390,en
121510236,es
52028814,en
38244180,en
652498513,en
23161357,en
207813352,en
68246485,en
155601320,fr
3389768,en
40063341,fr
67931625,de
51496027,en
199811071,es
502014446,pt-br
233300375,en
213104821,en
89284114,fr
6768122,tr
48878319,es
177249859,tr
30079255,en
123922797,es
77827128,it
75830338,it
245226810,es
40488774,ru
138111494,tr
51270104,en
32787655,en
103268673,en
264708119,it
182714869,es
504350,en
135468063,fr
82197170,en
28579002,pt-br
94875296,en
19942092,en
14371185,en
270186408,es
42490770,en
137347549,fr
320878,en
81432617,fr
39115143,es
59168409,en
143726713,en
48389176,en
160489367,it
136925660,fr
610935997,es
117349875,en
183495243,es
1423946,en
173066877,fr
95873995,en
110690086,en
23528098,en
120679071,en
68950614,ru
427632467,en
109492660,es
158409957,tr
38287412,tr
82387889,de
579785040,es
500128827,en
73779954,en
21431060,de
260722430,en
45139193,it
59635827,en
109809539,en
180671441,en
85875635,en
56514218,es
188455270,en
101448647,es
121555768,it
48340211,pt-br
110119637,fr
409624608,en
38499199,it
91136321,es
137089044,es
230768385,ru
682444350,en
257049727,tr
36810911,de
82896213,en
144798294,de
94908847,en
133528221,es
23097521,en
134927899,tr
94055227,es
70880222,en
26241991,en
64638702,en
50876702,de
113537067,de
18587270,en
114523872,en
62154099,fr
503630305,de
35828637,fr
92271663,en
181224914,en
246450563,en
237687661,tr
60796327,en
80993076,en
18074328,en
96812687,it
61974931,de
121111915,en
246532465,pt-br
408882505,es
40397064,en
181713478,it
37175851,en
91135465,en
23179441,en
41568677,en
29214396,de
4102418,fr
431146848,es
27586515,en
35076943,en
98099061,en
214560121,en
31532143,en
415954300,en
25871845,en
100815219,en
143357760,en
38852102,en
60521449,en
132289488,it
163491827,en
178506969,en
10397006,en
128440061,en
48533154,en
198394486,en
196005456,tr
105458682,en
522483254,es
85473107,fr
104329750,tr
135558945,en
20992865,en
11524494,de
165271252,en
25736477,en
114037984,ru
477294350,en
57608231,pt-br
114150644,en
50795214,fr
8522534,en
38718052,en
26144032,fr
130447455,en
24991333,en
71031406,en
24666044,en
665575600,pt-br
21379187,en
108948694,es
244407024,en
94760606,fr
21802540,ru
29753247,fr
47954096,en
35893764,de
35991862,en
75316677,es
78567532,de
31443685,en
120244187,en
48243045,en
31457014,en
28640725,en
136494286,it
179144678,it
443654989,pt-br
136189230,pt-br
16689163,en
121652526,fr
168116110,fr
128268757,es
195675197,en
130962899,es
26464160,es
50881182,en
81463115,en
35824977,en
170079505,es
502277438,de
238185092,en
61292850,en
544502795,en
63985840,fr
416719291,es
96858382,en
95155668,fr
159782005,ru
31813025,fr
29592923,es
22479463,en
21635116,de
53831525,en
42896693,en
73911501,de
39795492,en
39067173,en
131917576,it
42320398,en
123275679,en
39176440,ru
186633315,en
569342042,en
29491102,en
78397626,en
116882497,de
474535377,ru
645448741,en
106798269,pt-br
273448419,es
40748114,pt-br
114717492,ru
168525296,en
141222256,fr
109778370,it
10114287,en
184325380,es
149220653,fr
71336,en
80177884,en
43725651,it
557148694,en
86058620,en
89486159,en
89600394,it
98518220,es
127040829,ru
63072834,it
563908141,en
47815280,en
79418345,ru
232810438,fr
217868850,ko
623481730,es
116363747,es
118974117,es
144555242,en
49495142,ru
52693304,it
437144416,en
31680543,en
539703465,fr
197490552,es
137716270,en
40299581,es
110298250,en
46021592,en
484499238,tr
53811294,en
60709283,tr
139060194,ko
49413110,de
678061966,en
23184822,en
77913099,en
77148737,fr
366735,en
114366744,en
123843446,pt-br
515489203,en
61713129,en
30463343,en
90989037,en
122262226,es
76441880,ru
405208912,es
473183066,fr
40740351,fr
109163696,it
190428536,pt-br
215968422,en
133220545,en
1518077,en
58782558,en
183714759,en
28036688,en
422033166,it
535945078,it
95046279,tr
57865494,en
463406124,en
46257960,en
415009669,en
